Year,region,province_city,foreign,overseas,domestic,total,is_region_total
2015,Region III  (CENTRAL LUZON),Brookes Point,0,0,3027,3110,0
2015,Region III  (CENTRAL LUZON),Cagayancillo,0,0,762,828,0
2015,Region III  (CENTRAL LUZON),Coron,0,0,2745,15105,0
2015,Region III  (CENTRAL LUZON),Culion,0,0,1305,5412,0
2015,Region III  (CENTRAL LUZON),Cuyo,0,0,50563,58654,0
2015,Region III  (CENTRAL LUZON),El Nido,0,0,561613,0,0
2015,Region III  (CENTRAL LUZON),Linapacan,0,0,0,0,0
2015,Region III  (CENTRAL LUZON),Narra,0,0,0,802060,0
2015,Region III  (CENTRAL LUZON),Rizal,0,0,0,0,0
2015,Region III  (CENTRAL LUZON),San Vicente,0,0,0,0,0
2015,Region III  (CENTRAL LUZON),Taytay,0,0,0,0,0
2015,Region III  (CENTRAL LUZON),Romblon,0,0,0,0,0
2015,Region III  (CENTRAL LUZON),Odiongan,0,0,0,0,0
2015,Region III  (CENTRAL LUZON),San Jose,0,0,0,0,0
2015,Region III  (CENTRAL LUZON),Puerto Princesa City,0,0,0,0,0
2015,Region V  (BICOL REGION),0,845778,22104,3658125,4526007,1
2015,Region V  (BICOL REGION),Region/Province/City,0,0,0,0,0
2015,Region VI  (WESTERN VISAYAS),0,937021,50350,3644960,4632331,1
2015,Region VI  (WESTERN VISAYAS),Region/Province/City,0,0,0,0,0
2015,Region VI  (WESTERN VISAYAS),Region/Province/City,0,0,0,0,0
2015,Region VII (CENTRAL VISAYAS),0,1935906,15189,2658623,4609718,1
2015,Region VII (CENTRAL VISAYAS),Region/Province/City,0,0,0,0,0
2015,Region VII (CENTRAL VISAYAS),Region/Province/City,0,0,0,0,0
2015,Region VII (CENTRAL VISAYAS),Siquijor,27072,0,34145,61217,0
2015,Region VII (CENTRAL VISAYAS),E. Villanueva,284,6192,517,801,0
2015,Region VII (CENTRAL VISAYAS),Larena,2082,2814,4566,6648,0
2015,Region VII (CENTRAL VISAYAS),Lazi,669,160,440,1109,0
2015,Region VII (CENTRAL VISAYAS),Maria,1074,0,5958,7032,0
2015,Region VII (CENTRAL VISAYAS),San Juan,19891,0,12788,32679,0
2015,Region VII (CENTRAL VISAYAS),Siquijor,3072,0,9876,12948,0
2015,Region VII (CENTRAL VISAYAS),Cebu City,565311,0,1172059,1743562,0
2015,Region VII (CENTRAL VISAYAS),Lapu-lapu City,885309,0,293197,1181320,0
2015,Region VII (CENTRAL VISAYAS),Mandaue City,17311,0,39129,56600,0
2015,Region VIII (EASTERN VISAYAS),0,42046,2294,1008375,1052715,1
2015,Region VIII (EASTERN VISAYAS),Region/Province/City,0,0,0,0,0
2015,Region IX (ZAMBOANGA PENINSULA),0,9080,12859,608812,630751,1
2015,Region IX (ZAMBOANGA PENINSULA),Zamboanga del Norte,4835,0,212733,217568,0
2015,Region IX (ZAMBOANGA PENINSULA),Dapitan City,980,12859,36087,37067,0
2015,Region IX (ZAMBOANGA PENINSULA),Dipolog City,3855,0,176646,180501,0
2015,Region IX (ZAMBOANGA PENINSULA),Zamboanga del Sur,34,0,3993,4027,0
2015,Region IX (ZAMBOANGA PENINSULA),Pagadian City,4211,0,392086,409156,0
2015,Region IX (ZAMBOANGA PENINSULA),Zamboanga Sibugay,0,0,0,0,0
2015,Region IX (ZAMBOANGA PENINSULA),Isabela City,0,0,0,0,0
2015,Region IX (ZAMBOANGA PENINSULA),Zamboanga City,0,0,0,0,0
2015,Region X (NORTHERN MINDANAO),0,98211,6340,2596975,2701526,1
2015,Region X (NORTHERN MINDANAO),Bukidnon,41720,2441,613187,657348,0
2015,Region X (NORTHERN MINDANAO),Malaybalay City,807,2441,60850,61657,0
2015,Region X (NORTHERN MINDANAO),Valencia City,4629,0,188224,192853,0
2015,Region X (NORTHERN MINDANAO),Others,36284,0,364113,402838,0
2015,Region X (NORTHERN MINDANAO),Camiguin,12060,3891,589013,601073,0
2015,Region X (NORTHERN MINDANAO),Lanao del Norte,351,8,30310,30661,0
2015,Region X (NORTHERN MINDANAO),Misamis Occidental,7476,0,550392,557868,0
2015,Region X (NORTHERN MINDANAO),Ozamis City,5542,0,324719,330261,0
2015,Region X (NORTHERN MINDANAO),Tangub City,47,0,9260,9307,0
2015,Region X (NORTHERN MINDANAO),Oroquieta City,832,0,59075,59907,0
2015,Region X (NORTHERN MINDANAO),Others,1055,0,157338,158393,0
2015,Region X (NORTHERN MINDANAO),Misamis Oriental,279,0,43343,43622,0
2015,Region X (NORTHERN MINDANAO),Gingoog City,279,0,39388,39667,0
2015,Region X (NORTHERN MINDANAO),Others,34921,0,3955,3955,0
2015,Region X (NORTHERN MINDANAO),Cagayan de Oro City,1404,0,601280,640092,0
2015,Region X (NORTHERN MINDANAO),Iligan City,0,0,169450,170862,0
2015,Region XI  (DAVAO REGION),0,174165,14699,2649625,2838489,1
2015,Region XI  (DAVAO REGION),Compostela Valley,158,14699,206490,206648,0
2015,Region XI  (DAVAO REGION),Davao del Norte,40878,0,651267,692145,0
2015,Region XI  (DAVAO REGION),Asuncion,433,0,9401,9834,0
2015,Region XI  (DAVAO REGION),Island Garden City of Samal,4074,0,195779,199853,0
2015,Region XI  (DAVAO REGION),Kapalong,128622,0,1586688,1730009,0
2015,Region XI  (DAVAO REGION),New Corella,0,0,0,0,0
2015,Region XI  (DAVAO REGION),Panabo City,0,0,0,0,0
2015,Region XI  (DAVAO REGION),Tagum City,0,0,0,0,0
2015,Region XI  (DAVAO REGION),Others,0,0,0,0,0
2015,Region XI  (DAVAO REGION),Davao del Sur,0,0,0,0,0
2015,Region XI  (DAVAO REGION),Davao Oriental,0,0,0,0,0
2015,Region XI  (DAVAO REGION),Davao City,0,0,0,0,0
2015,Region XII  (SOCCSSARGEN),0,34720,0,904641,939361,1
2015,Region XII  (SOCCSSARGEN),Region/Province/City,0,0,0,0,0
2015,Region XIII (CARAGA),0,49513,2816,1195183,1247512,1
2015,Region XIII (CARAGA),Agusan del Norte,516,0,57883,58399,0
2015,Region XIII (CARAGA),Cabadbaran City,167,0,14117,14284,0
2015,Region XIII (CARAGA),Others,349,0,43766,44115,0
2015,Region XIII (CARAGA),Agusan del Sur,362,0,155420,155782,0
2015,Region XIII (CARAGA),Dinagat Islands,729,0,65028,65757,0
2015,Region XIII (CARAGA),Surigao del Norte,38509,343,579961,618813,0
2015,Region XIII (CARAGA),Surigao City,15377,343,457143,472863,0
2015,Region XIII (CARAGA),Others,23132,0,122818,145950,0
2015,Region XIII (CARAGA),Surigao del Sur,1618,0,179541,181159,0
2015,Region XIII (CARAGA),Bislig City,827,0,41359,42186,0
2015,Region XIII (CARAGA),Tandag City,291,0,65173,65464,0
2015,Region XIII (CARAGA),Others,500,0,73009,73509,0
2015,Region XIII (CARAGA),Butuan City,7779,2473,157350,167602,0
2016,NCR (National Capital Region),NCR (National Capital Region),245138,0,249545,494683,1
2016,NCR (National Capital Region),Caloocan City,0,0,0,0,0
2016,NCR (National Capital Region),Las Piñas City,0,0,0,0,0
2016,NCR (National Capital Region),Makati City,0,0,0,0,0
2016,NCR (National Capital Region),Malabon City,0,0,0,0,0
2016,NCR (National Capital Region),Mandaluyong City,0,0,0,0,0
2016,NCR (National Capital Region),Manila,0,0,0,0,0
2016,NCR (National Capital Region),Marikina City,0,0,0,0,0
2016,NCR (National Capital Region),Muntinlupa City,0,0,0,0,0
2016,NCR (National Capital Region),Navotas City,0,0,0,0,0
2016,NCR (National Capital Region),Parañaque City,0,0,0,0,0
2016,NCR (National Capital Region),Pasay City,0,0,0,0,0
2016,NCR (National Capital Region),Pasig City,0,0,0,0,0
2016,NCR (National Capital Region),Quezon City,0,0,0,0,0
2016,NCR (National Capital Region),San Juan City,0,0,0,0,0
