Year;Region_Code;Region_Name;Province;Location;Level_Original;Foreign_Travelers;OFW;Domestic_Travelers;Total;Level;Latitude;Longitude
2015;Region II;Region II (CAGAYAN VALLEY);Isabela;Ilagan City;City/Municipality;42;4;18874;18920;City/Municipality;17,6132;121,727
2015;Region II;Region II (CAGAYAN VALLEY);Isabela;Santiago City;City/Municipality;1455;28;69987;71470;City/Municipality;17,6132;121,727
2015;Region II;Region II (CAGAYAN VALLEY);Nueva Vizcaya;Nueva Vizcaya;Province;491;0;131682;132173;Province;17,6132;121,727
2015;Region II;Region II (CAGAYAN VALLEY);Quirino;Quirino;Province;0;0;5795;5795;Province;17,6132;121,727
2015;Region III;Region III (CENTRAL LUZON);;Region III (CENTRAL LUZON);Region;782499;31027;2782571;3596097;Region;15,4755;120,596
2015;Region III;Region III (CENTRAL LUZON);Aurora;Aurora;Province;255;0;154271;154526;Province;15,4755;120,596
2015;Region III;Region III (CENTRAL LUZON);Bataan;Bataan;Province;23233;0;221070;244303;Province;15,4755;120,596
2015;Region III;Region III (CENTRAL LUZON);Bulacan;Bulacan;Province;701;0;80553;81254;Province;15,4755;120,596
2015;Region III;Region III (CENTRAL LUZON);Nueva Ecija;Nueva Ecija;Province;18;0;25969;25987;Province;15,4755;120,596
2015;Region III;Region III (CENTRAL LUZON);Pampanga;Pampanga;Province;489321;0;512659;1001980;Province;15,4755;120,596
2015;Region III;Region III (CENTRAL LUZON);Pampanga;Clark;City/Municipality;489321;0;512659;1001980;City/Municipality;15,4755;120,596
2015;Region III;Region III (CENTRAL LUZON);Pampanga;Tarlac City;City/Municipality;952;0;46744;47696;City/Municipality;15,4755;120,596
2015;Region III;Region III (CENTRAL LUZON);Zambales;Zambales;Province;37153;31027;1395300;1463480;Province;15,4755;120,596
2015;Region III;Region III (CENTRAL LUZON);Zambales;SBMA;City/Municipality;37153;31027;1395300;1463480;City/Municipality;15,4755;120,596
2015;Region III;Region III (CENTRAL LUZON);Zambales;Angeles City;City/Municipality;224481;0;188348;412829;City/Municipality;15,4755;120,596
2015;Region III;Region III (CENTRAL LUZON);Zambales;Olongapo City;City/Municipality;6385;0;157657;164042;City/Municipality;15,4755;120,596
2015;Region IV-A;Region IV-A CALABARZON;;Region IV-A CALABARZON;Region;426833;3004;3888788;4318625;Region;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Batangas;Province;80493;2281;1086236;1169010;Province;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Alitagtag;City/Municipality;0;0;4344;4344;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Batangas City;City/Municipality;6760;0;61374;68134;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Balete;City/Municipality;0;0;772;772;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Bauan;City/Municipality;0;0;385;385;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Calatagan;City/Municipality;302;0;142224;142526;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Cuenca;City/Municipality;0;0;2965;2965;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Laurel;City/Municipality;0;0;310;310;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Lemery;City/Municipality;0;0;6301;6301;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Lian;City/Municipality;2798;0;37647;40445;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Lipa City;City/Municipality;15457;0;59110;74567;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Lobo;City/Municipality;0;0;25138;25138;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Mabini;City/Municipality;16318;1725;66296;84339;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Malvar;City/Municipality;2009;0;8352;10361;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Mataas na Kahoy;City/Municipality;0;0;69254;69254;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Nasugbu;City/Municipality;10282;0;182278;192560;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Rosario;City/Municipality;592;556;2498;3646;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;San Juan;City/Municipality;859;0;337488;338347;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Santo Tomas;City/Municipality;25089;0;48680;73769;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Taal;City/Municipality;27;0;79;106;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Talisay;City/Municipality;0;0;29097;29097;City/Municipality;14,1008;121,0794
