"",RANK,COUNTRY OF RESIDENCE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,"JANUARY -DECEMBER",% Share
114,UGANDAN,20,28,25,37,32,43,30,32,53,52,43,33,428,0.01%
115,CONGOLESE (CONGO),41,33,26,38,18,31,42,57,38,34,42,20,420,0.01%
116,SUDANESE,47,32,39,36,16,27,35,46,33,37,35,33,416,0.01%
117,TANZANIAN,32,24,22,28,27,27,38,35,31,42,31,37,374,0.01%
118,ALBANIAN,19,39,24,23,25,26,29,19,30,29,49,38,350,0.01%
119,SALVADOREAN,28,22,26,42,26,25,37,24,37,27,33,14,341,0.01%
120,BOSNIAN,25,33,25,24,18,14,25,19,29,36,42,41,331,0.01%
121,TAJIK,30,19,26,23,20,35,16,23,27,47,32,29,327,0.01%
122,NORTHERN MARIANAN,21,16,14,18,14,51,63,30,20,12,26,21,306,0.01%
123,BHUTANESE,11,18,27,24,27,27,33,16,12,37,37,25,294,0.01%
124,GUATEMALAN,20,23,34,29,28,16,29,28,10,34,18,23,292,0.01%
125,IRAQI,13,22,24,10,21,24,20,39,49,30,13,21,286,0.01%
126,HONDURAN,37,18,43,29,23,29,18,4,28,13,21,12,275,0.01%
126,PANAMANIAN,24,31,29,21,13,19,20,20,17,23,33,25,275,0.01%
127,AFGHAN,22,20,24,19,21,22,25,30,33,14,18,23,271,0.00%
128,ANGOLAN,16,13,8,18,15,21,25,65,26,20,13,28,268,0.00%
129,TRINIDADIAN,21,23,40,20,20,11,14,15,27,26,25,22,264,0.00%
130,BOLIVIAN,15,20,14,53,27,10,6,18,16,30,25,26,260,0.00%
130,GEORGIAN,25,24,32,18,18,6,38,7,13,27,37,15,260,0.00%
131,IVORIAN,17,15,33,34,26,19,11,26,12,28,14,16,251,0.00%
132,PALESTINIAN,19,26,19,16,9,22,30,25,24,9,32,16,247,0.00%
133,PARAGUAYAN,42,39,12,18,12,14,12,18,14,9,7,24,221,0.00%
134,MACEDONIAN,21,13,23,24,17,21,13,6,20,7,19,32,216,0.00%
135,ZAMBIAN,19,11,17,14,11,13,13,16,35,11,16,25,201,0.00%
136,NIGERIEN,24,25,33,14,21,15,11,17,5,10,7,8,190,0.00%
137,LIBERIAN,14,11,18,20,11,19,17,17,19,18,10,15,189,0.00%
138,MALAGASY,27,24,11,19,11,7,8,16,16,17,9,19,184,0.00%
139,TURKMEN,12,8,26,15,13,11,9,9,17,19,20,24,183,0.00%
140,RWANDAN,16,12,18,11,8,10,17,30,15,18,16,6,177,0.00%
141,ERITREAN,12,22,13,11,10,9,18,18,13,5,14,12,157,0.00%
141,NICARAGUAN,17,9,14,10,3,16,6,10,11,18,31,12,157,0.00%
142,SENEGALESE,7,8,10,12,12,11,7,25,30,15,6,13,156,0.00%
143,MOLDOVAN,18,19,15,5,8,2,9,9,14,18,10,19,146,0.00%
RANK,NATIONALITY,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBE,"JANUARY -DECEMBER",% Share
145,TONGAN,15,11,6,17,15,9,4,8,16,10,14,8,133,0.00%
146,MONTENEGRIN,3,5,11,5,9,13,7,37,8,7,8,15,128,0.00%
147,BAHAMIAN,19,11,7,8,6,15,10,5,8,20,11,6,126,0.00%
148,NAMIBIAN,7,12,5,18,8,6,9,5,5,10,10,28,123,0.00%
148,US VIRGIN ISLAND,15,16,16,10,12,10,11,15,5,4,5,4,123,0.00%
149,SAMOAN,5,13,12,11,1,14,8,14,13,10,9,8,118,0.00%
150,MALAWIAN,15,13,6,5,4,9,10,17,11,8,12,7,117,0.00%
151,ANDORRAN,5,9,11,14,11,11,7,8,18,14,5,3,116,0.00%
152,MOZAMBICAN,6,4,10,9,10,4,14,6,14,7,8,16,108,0.00%
153,ST LUCIAN,6,11,11,9,8,6,10,13,4,10,10,9,107,0.00%
154,BELIZEAN,22,7,5,12,4,6,12,11,5,5,8,6,103,0.00%
154,LIECHTENSTEIN CITIZEN,8,4,15,13,5,8,19,4,7,2,3,15,103,0.00%
155,BERMUDIAN,7,7,9,6,9,4,10,9,9,5,8,19,102,0.00%
156,AZERBAIJANI,5,8,9,6,7,11,3,11,7,7,13,13,100,0.00%
157,CHADIAN,8,10,18,6,11,3,6,10,6,6,11,4,99,0.00%
158,SWAZI,6,2,8,8,3,4,5,8,24,19,5,2,94,0.00%
159,GUINEAN,3,10,9,1,8,8,5,25,7,5,6,6,93,0.00%
159,HAITIAN,16,5,10,6,1,5,4,10,11,4,7,14,93,0.00%
160,LIBYAN,4,13,4,8,5,7,10,11,10,2,7,8,89,0.00%
161,MOTSWANA,9,5,7,3,11,4,1,11,2,6,5,22,86,0.00%
162,SOUTH SUDANESE,2,4,3,3,-,1,2,47,14,5,-,3,84,0.00%
163,BENINESE,7,6,11,4,4,9,8,15,5,8,4,2,83,0.00%
163,COMORAN,7,6,8,5,9,7,3,7,9,11,5,6,83,0.00%
163,GRENADIAN,11,6,5,5,2,8,4,11,1,9,11,10,83,0.00%
164,CITIZEN OF ANTIGUA AND BARBUDA,4,10,6,2,7,13,8,5,7,5,6,8,81,0.00%
165,BURKINAN,1,-,6,14,3,29,3,1,8,6,4,3,78,0.00%
166,BRITISH VIRGIN ISLANDER,6,1,5,12,4,4,23,11,5,2,2,2,77,0.00%
167,CAYMAN ISLANDER,4,1,4,1,5,6,18,5,11,9,5,5,74,0.00%
167,GAMBIAN,6,5,6,6,2,5,5,10,8,12,6,3,74,0.00%
167,SOMALI,13,6,3,5,7,5,2,7,4,11,4,7,74,0.00%
168,CITIZEN OF KIRIBATI,-,5,5,8,11,8,6,9,7,3,5,1,68,0.00%
168,PUERTO RICAN,8,4,10,8,4,5,2,11,3,4,3,6,68,0.00%
169,TOGOLESE,8,3,5,3,-,5,2,3,9,10,2,11,61,0.00%
170,MALIAN,5,3,3,3,5,5,9,6,7,5,6,3,60,0.00%
171,CUBAN,2,4,6,4,11,4,5,3,5,3,2,10,59,0.00%
172,BURUNDIAN,3,-,7,4,1,5,5,6,10,8,2,4,55,0.00%
173,BARBADIAN,-,5,9,2,6,5,4,5,2,9,3,4,54,0.00%
174,GUYANESE,3,9,6,4,5,3,7,4,2,4,3,3,53,0.00%
175,CAPE VERDEAN,5,4,4,6,1,6,5,7,1,3,3,5,50,0.00%
176,FAROESE,2,5,3,3,6,3,3,8,3,3,2,4,45,0.00%
177,TUVALUAN,-,2,7,5,2,4,1,-,6,11,2,2,42,0.00%
178,SURINAMESE,1,2,1,5,2,1,-,3,14,4,4,3,40,0.00%
179,VINCENTIAN,6,3,2,2,4,2,5,-,-,4,3,6,37,0.00%
180,EQUATORIAL GUINEAN,6,4,-,7,1,-,3,2,2,2,4,3,34,0.00%
180,GABONESE,1,1,-,1,3,1,3,6,10,4,2,2,34,0.00%
181,ARUBA,-,3,2,1,-,2,5,4,3,4,3,2,29,0.00%
181,GIBRALTARIAN,3,-,5,4,1,-,3,1,-,4,6,2,29,0.00%
182,MAURITANIAN,3,4,5,4,1,1,-,1,-,2,6,-,27,0.00%
183,SIERRA LEONEAN,-,-,2,-,2,5,1,1,6,5,2,2,26,0.00%
"",RANK,NATIONALITY,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBE,"JANUARY -DECEMBER",% Share
"",185,FRENCH POLYNESIAN,3,-,1,1,1,1,4,3,-,4,3,1,22,0.00%
"",186,CENTRAL AFRICAN,2,2,-,6,-,2,3,-,-,3,2,-,20,0.00%
"",186,REUNIONESE,1,5,1,3,1,2,1,-,-,5,-,1,20,0.00%
"",187,DJIBOUTIAN,-,3,2,1,3,2,2,2,-,-,1,3,19,0.00%
"",187,SAMMARINESE,1,4,1,1,-,1,1,2,1,1,-,6,19,0.00%
"",188,FRENCH SOUTHERN TERRITORIES,5,3,1,1,-,2,1,1,-,-,-,2,16,0.00%
"",189,BASOTHO,1,-,-,1,-,1,-,2,6,3,-,1,15,0.00%
"",189,CITIZEN OF GUINEA-BISSAU,2,3,2,1,3,1,1,1,-,-,1,-,15,0.00%
"",189,VATICAN CITIZEN,1,4,2,1,-,1,3,2,1,-,-,-,15,0.00%
"",190,NAURUAN,-,-,-,2,1,2,-,-,-,4,4,1,14,0.00%
"",191,SAO TOMEAN,,-,-,-,-,1,1,1,7,1,-,2,13,0.00%
"",192,ANGUILLAN,1,1,3,-,1,1,1,1,-,1,-,-,10,0.00%
"",193,MARTINIQUAIS,1,-,7,1,-,-,-,-,-,-,-,-,9,0.00%
"",194,FRENCH GUIANESE,-,-,5,2,-,-,-,-,-,-,-,-,7,0.00%
"",195,COCOS ISLANDER,-,-,1,-,-,-,-,-,5,-,-,-,6,0.00%
"",195,CURA̤AOAN,2,1,-,-,-,-,-,1,-,1,1,-,6,0.00%
"",195,TURKS AND CAICOS ISLANDER,1,-,1,1,-,1,1,-,-,1,-,-,6,0.00%
"",196,COOK ISLANDER,1,1,-,1,-,1,-,-,-,-,1,-,5,0.00%
"",196,GUADELOUPE,-,-,-,2,1,1,-,-,1,-,-,-,5,0.00%
"",196,WALLISIAN,-,-,2,1,-,1,1,-,-,-,-,-,5,0.00%
"",197,ANTARCTIC,1,1,-,1,-,-,-,-,-,-,-,-,3,0.00%
"",197,CHRISTMAS ISLANDER,-,-,-,1,-,1,-,-,-,-,-,1,3,0.00%
"",197,GREENLANDIC,-,-,1,1,-,-,-,-,-,-,-,1,3,0.00%
"",197,rNORTH KOREAN,-,-,-,-,2,-,-,-,-,-,-,1,3,0.00%
"",198,SAHRAWI,1,-,1,-,-,-,-,-,-,-,-,-,2,0.00%
"",199,BARTHELEMY,-,-,-,-,-,-,-,-,1,-,-,-,1,0.00%
"",199,MAHORAN,-,1,-,-,-,-,-,-,-,-,-,-,1,0.00%
"",199,PITCAIRN ISLANDER,-,-,-,-,-,-,-,-,1,-,-,-,1,0.00%
"",199,SAINT-PIERRAIS OR MIQUELONNAIS,-,-,1,-,-,-,-,-,-,-,-,-,1,0.00%
199,SVALBARD,-,-,1,-,-,-,-,-,-,-,-,-,1,0.00%,
