FINLAND,4,22,1 1,6,7,14,17,23,2 1,17,40,3 0,2 12,0.13,"2 ,135",-90.07
IRELAND,2 0,37,2 6,1 3,26,28,34,55,5 5,65,103,1 38,6 00,0.37,"3 ,621",-83.43
NORWAY,4 9,30,1 8,3,14,27,22,31,7 2,58,94,9 0,5 08,0.31,"4 ,365",-88.36
SWEDEN,1 3,40,2 4,1 3,22,25,29,39,5 2,70,87,9 4,5 08,0.31,"6 ,996",-92.74
UNITED KINGDOM,1 62,246,2 71,1 27,184,231,280,372,3 24,475,720,9 56,"4 ,348",2.65,"3 9,980",-89.12
GREECE,4 9,32,3 6,1 2,29,36,38,45,5 8,48,63,5 4,5 00,0.31,"1 ,325",-62.26
ITALY,4 7,78,1 30,7 4,78,105,109,113,1 47,100,132,9 9,"1 ,212",0.74,"8 ,976",-86.50
PORTUGAL,2 9,34,2 4,1 8,32,20,30,29,3 2,38,34,1 9,3 39,0.21,"2 ,072",-83.64
SPAIN,7 5,97,8 4,6 1,66,75,82,132,1 34,154,142,1 18,"1 ,220",0.74,"9 ,621",-87.32
INDEPENDENT STATES,1 41,109,1 57,9 1,105,137,141,195,2 06,189,228,1 71,"1 ,870",1.14,"4 ,644",-59.73
RUSSIAN FEDERATION,8 1,73,4 6,2 6,65,78,69,79,1 45,125,138,1 02,"1 ,027",0.63,"1 2,643",-91.88
TOTAL (CIS & RUSSIA),222,182,203,117,170,215,210,274,351,314,366,273,"2,897",1.77,"17,287",-83.24
POLAND,4 5,50,3 7,3 2,35,37,31,36,4 8,53,62,5 4,5 20,0.32,"5 ,429",-90.42
ISRAEL,9,17,1 28,2 0,21,18,44,48,1 2,42,49,4 4,4 52,0.28,"4 ,745",-90.47
TURKEY,4 19,315,3 46,3 31,362,340,375,388,3 76,374,372,3 76,"4 ,374",2.67,"3 ,619",20.86
AUSTRALIA,8 8,115,9 1,6 1,106,84,136,161,1 39,178,336,6 89,"2 ,184",1.33,"5 5,330",-96.05
GUAM,4,16,3 8,1 4,23,37,70,49,2 6,88,105,1 74,6 44,0.39,"2 ,882",-77.65
NAURU,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00,5,-100.00
NEW ZEALAND,3 5,12,1 9,1 1,23,23,34,37,2 6,36,36,5 3,3 45,0.21,"6 ,883",-94.99
PAPUA NEW GUINEA,3 0,21,2 8,1 7,25,27,25,24,1 9,43,69,5 3,3 81,0.23,"1 ,434",-73.43
NIGERIA,1 9,22,2 9,8,33,31,35,37,2 4,31,19,1 2,3 00,0.18,"1 ,042",-71.21
SOUTH AFRICA,4 0,64,3 9,4 6,64,60,91,96,6 7,85,97,7 7,8 26,0.50,"2 ,159",-61.74
RESIDENCES,6 86,613,6 17,4 19,532,570,701,809,8 09,773,973,"1 ,066","8 ,568",5.23,"2 5,590",-66.52
T O T A L,"6 ,109","9,005","1 0,446","5 ,098","9,153","10,281","11,794","13,132","1 3,891","15,656","18,836","2 2,697","1 46,098",89.15,"1 ,398,455",-89.55
OVERSEAS FILIPINOS*,369,"1,939","1,515",938,"1,750","1,574","1,050","1,702","1,621","1,973","1,694","1,656","17,781",10.85,"84,080",-78.85
