BRUNEI,523,5 99,926,455,618,768,696,627,710,620,800,784,"8,126"
CAMBODIA,298,2 86,315,454,539,447,449,469,670,514,879,668,"5,988"
INDONESIA,"6,811","6 ,717","6,658","4,892","5,755","6,524","5,353","4,533","5,194","4,051","7,794","6,537","70,819"
LAOS,72,61,108,91,90,102,144,113,131,160,280,102,"1,454"
MALAYSIA,"11,516","12,862","13,273","11,071","13,422","12,163","10,508","9,889","11,374","9,541","13,531","10,732","139,882"
MYANMAR,843,9 00,"1,086","1,024","1,188","1,007","1,098","1,068",981,"1,346","1,764","1,673","13,978"
SINGAPORE,"11,904","12,321","15,259","11,877","13,590","16,200","12,910","12,217","12,276","12,287","14,738","13,016","158,595"
THAILAND,"4,518","4 ,891","5,115","5,283","5,040","4,432","4,880","4,543","4,609","5,583","6,620","5,778","61,292"
VIETNAM,"3,849","5 ,969","4,899","5,152","5,757","7,349","6,174","4,930","5,082","5,155","5,980","6,402","66,698"
CHINA,"1 31,196","174,175","1 58,433","139,177","130,788","132,792","171,848","170,903","1 50,505","139,707","126,785","117,000","1,743,309"
HONGKONG,"6,977","9 ,645","6,672","7,539","6,569","7,154","7,923","6,551","6,703","7,486","7,970","10,464","91,653"
JAPAN,"47,567","64,365","65,837","57,724","46,495","44,919","55,727","78,699","56,878","51,414","53,784","59,379","682,788"
KOREA,"1 79,900","180,890","1 58,794","130,707","138,239","157,495","167,249","185,334","1 52,184","158,380","176,185","203,965","1,989,322"
MACAU,607,8 08,750,654,690,629,738,750,765,674,632,732,"8,429"
TAIWAN,"21,804","30,648","25,456","25,441","25,637","30,546","32,663","32,676","27,707","29,642","23,350","21,703","327,273"
BANGLADESH,466,5 40,510,620,404,673,454,502,624,453,877,507,"6,630"
INDIA,"15,182","11,007","10,086","9,986","11,275","11,352","11,495","11,307","10,777","9,780","13,357","9,359","134,963"
IRAN,184,1 08,355,177,178,183,160,173,164,206,206,196,"2,290"
NEPAL,822,5 20,445,323,377,680,431,461,453,360,435,711,"6,018"
PAKISTAN,501,4 65,423,501,372,454,480,458,552,393,757,437,"5,793"
SRI LANKA,593,4 74,478,491,477,594,532,518,515,734,595,411,"6,412"
BAHRAIN,312,2 13,269,243,138,403,392,341,184,256,321,224,"3,296"
EGYPT,225,2 52,208,354,201,300,288,275,258,215,349,285,"3,210"
JORDAN,162,1 58,184,232,147,186,181,144,111,105,173,148,"1,931"
KUWAIT,568,5 42,534,563,381,656,702,635,356,450,450,472,"6,309"
OMAN****,207,2 23,238,203,78,364,223,249,218,164,209,150,"2,526"
QATAR*,174,2 04,207,265,134,284,279,251,107,161,196,229,"2,491"
SAUDI ARABIA,"3,316","3 ,354","3,730","2,683","1,165","7,220","5,604","4,534","3,288","3,609","3,432","1,813","43,748"
UNITED ARAB EMIRATES,889,"1 ,064","1,252","1,086",703,723,912,814,522,664,759,804,"10,192"
CANADA,"28,144","22,272","21,936","22,309","19,944","13,765","17,630","13,664","12,006","16,124","20,405","30,651","238,850"
MEXICO,412,3 72,407,485,409,425,450,376,388,428,534,468,"5,154"
USA,"1 09,342","94,632","89,806","87,710","90,979","96,735","93,912","68,418","61,085","79,716","82,617","109,488","1,064,440"
ARGENTINA,571,4 00,371,358,303,178,156,177,197,253,349,330,"3,643"
