BRAZIL,"1,047",9 09,"1,020",960,766,547,450,729,717,734,855,"1,301","10,035"
COLOMBIA,298,2 53,292,302,268,241,256,250,289,256,381,300,"3,386"
PERU,144,1 25,120,134,150,110,99,180,129,139,153,177,"1,660"
ANDORRA,-,1,2,-,2,2,-,3,1,-,3,11,25
AUSTRIA,"1,761","1 ,712","1,390","1,176","1,019",875,"1,284",843,724,984,"1,130","1,942","14,840"
BELGIUM,"1,585","1 ,513","1,699","1,967","1,271","1,523","2,316","1,175","1,060","1,320","1,642","2,085","19,156"
FRANCE,"9,285","12,934","10,714","10,380","5,882","3,765","5,564","5,638","3,903","5,640","6,999","7,873","88,577"
GERMANY,"11,081","11,569","11,075","9,485","6,917","5,195","6,857","6,512","5,732","7,698","8,862","12,773","103,756"
LUXEMBOURG,72,92,58,87,43,31,66,104,37,63,69,115,837
NETHERLANDS,"3,890","3 ,703","3,942","3,567","3,181","2,462","4,196","2,466","2,289","2,887","4,182","4,548","41,313"
SWITZERLAND,"3,149","3 ,365","2,775","3,557","2,003","1,349","2,329","1,373","1,467","2,051","2,574","3,974","29,966"
DENMARK,"2,130","2 ,220","1,629","1,785","1,237","1,077","1,643",867,928,"1,200","1,524","2,295","18,535"
FINLAND,"1,066","1 ,138",722,566,545,649,329,282,405,582,868,"1,268","8,420"
IRELAND,"1,741","1 ,478","1,672","2,192","1,719","2,210","2,325","1,391","1,267","1,680","1,460","2,340","21,475"
NORWAY,"2,031","2 ,073","1,649","1,832","1,183","3,010","3,364","1,188","1,030","1,341","1,597","3,166","23,464"
SWEDEN,"3,341","3 ,602","2,727","2,140","1,372","2,023","1,797",914,"1,078","1,547","2,091","5,260","27,892"
UNITED KINGDOM,"18,184","16,999","18,219","22,578","16,934","13,759","18,698","15,753","12,157","15,673","18,210","22,042","209,206"
GREECE,328,3 54,325,322,330,241,224,253,264,282,468,458,"3,849"
ITALY,"4,199","4 ,015","3,670","3,555","2,263","2,014","2,763","3,148","1,971","2,752","3,387","5,214","38,951"
PORTUGAL,590,8 08,698,"1,195",542,390,418,528,492,650,982,820,"8,113"
SPAIN,"3,952","3 ,659","3,552","4,341","2,965","2,894","5,202","6,610","2,901","3,587","5,409","4,676","49,748"
COMMONWEALTH OF,,,,,,,,,,,,,
INDEPENDENT STATES,"1,360","1 ,099","1,025",912,837,775,793,802,872,879,"1,135","1,559","12,048"
RUSSIAN FEDERATION,"4,590","4 ,597","4,339","2,997","2,156","1,560","1,352","1,429","1,820","2,464","4,349","4,458","36,111"
TOTAL (CIS & RUSSIA),"5,950","5,696","5,364","3,909","2,993","2,335","2,145","2,231","2,692","3,343","5,484","6,017","48,159"
POLAND,"2,078","2 ,200","1,818","1,403",823,565,625,547,606,"1,059","2,444","1,648","15,816"
ISRAEL,"2,600","2 ,633","2,064","2,506","1,590",932,"1,318","1,572","1,933","1,954","1,662","2,087","22,851"
TURKEY,934,8 90,753,664,565,644,690,678,523,698,862,753,"8,654"
AUSTRALIA,"29,929","21,571","21,647","28,683","22,021","19,163","21,364","17,347","21,346","23,096","23,068","36,935","286,170"
GUAM,"1,806","1 ,850","1,801","1,401","1,680","2,367","2,235","1,226",818,"1,540","1,667","1,444","19,835"
NAURU,1,6,33,2,11,8,2,5,4,3,17,1,93
NEW ZEALAND,"3,496","2 ,300","2,627","3,770","3,026","2,782","3,193","2,488","2,870","3,189","3,257","4,874","37,872"
PAPUA NEW GUINEA,908,5 29,677,647,707,875,785,690,829,945,685,551,"8,828"
NIGERIA,268,2 43,255,254,519,285,279,297,340,220,291,188,"3,439"
SOUTH AFRICA,705,6 97,710,765,552,561,571,597,585,768,652,"1,390","8,553"
OVERSEAS FILIPINOS***,"5,272","4,428","4,910","9,651","8,858","5,340","6,772","2,910","2,001","3,763","4,790","13,741","72,436"
