UNITED ARAB EMIRATES,"1,282","1,369","2 ,200","1,440","1,288","1,338","1,726","1,208",680,790,995,"1,086","15,402"
CANADA,"2 8,913","19,278","2 2,310","19,148","19,484","11,965","17,369","12,848","1 1,351","15,477","18,637","29,666","226,446"
MEXICO,318,261,403,3 59,380,309,400,360,363,362,431,3 02,"4,248"
USA,"1 09,154","84,835","9 0,961","85,573","92,754","94,567","91,684","65,567","5 9,600","76,090","79,089","104,597","1,034,471"
ARGENTINA,586,513,457,4 22,294,177,173,145,150,161,182,2 08,"3,468"
BRAZIL,776,709,701,7 23,539,420,456,469,476,477,601,"1,017","7,364"
COLOMBIA,152,154,167,1 85,187,161,221,238,228,242,224,2 30,"2,389"
PERU,82,82,104,8 4,59,58,69,107,87,112,87,1 07,"1,038"
ANDORRA,38,25,35,3 0,44,50,47,2,-,2,-,-,273
AUSTRIA,"1,742","1,435","1 ,204","1,151",924,750,"1,446",899,761,891,"1,069","1,921","14,193"
BELGIUM,"1,493","1,353","1 ,575","1,554","1,223","1,474","2,241","1,098",953,"1,181","1,393","1,747","17,285"
FRANCE,"8,438","9,737","8 ,489","8,628","5,561","3,339","5,253","4,556","3,397","4,580","5,641","6,781","74,400"
GERMANY,"8,822","9,826","1 0,161","7,551","6,532","4,828","6,413","6,127","5,484","6,733","7,888","11,733","92,098"
LUXEMBOURG,84,81,98,9 5,72,51,90,97,34,47,63,1 18,930
NETHERLANDS,"3,434","2,860","3 ,136","3,405","2,945","2,195","3,922","2,426","2,018","2,730","3,536","4,444","37,051"
SWITZERLAND,"3,397","3,298","3 ,404","3,311","2,220","1,386","2,662","1,366","1,609","2,048","2,395","3,979","31,075"
DENMARK,"2,141","2,095","2 ,021","1,429","1,244","1,023","1,517",845,965,"1,146","1,281","2,177","17,884"
FINLAND,998,771,660,5 32,445,444,320,288,383,535,693,"1,150","7,219"
IRELAND,"1,614","1,209","1 ,873","1,452","1,574","2,324","2,273","1,378","1,144","1,332","1,393","2,485","20,051"
NORWAY,"2,389","2,055","2 ,166","1,460","1,299","2,834","3,178","1,157","1,134","1,328","1,552","3,019","23,571"
SWEDEN,"3,985","3,620","3 ,111","1,901","1,483","1,952","1,494",926,"1,051","1,528","1,892","5,142","28,085"
UNITED KINGDOM,"1 8,111","15,443","2 2,967","17,913","15,348","12,661","18,847","15,376","1 1,637","14,714","16,247","21,780","201,044"
GREECE,304,336,324,2 34,296,239,198,223,238,272,424,3 65,"3,453"
ITALY,"4,174","3,101","3 ,098","2,910","2,055","2,065","2,861","3,316","2,007","2,220","3,043","4,332","35,182"
PORTUGAL,459,411,456,5 41,462,235,309,396,354,475,777,6 74,"5,549"
SPAIN,"3,999","3,206","4 ,204","3,012","2,708","2,504","4,527","5,502","2,650","3,415","4,180","4,226","44,133"
INDEPENDENT STATES,"1,375","1,129","1 ,462",8 57,938,757,595,644,764,745,990,"1,258","11,514"
RUSSIAN FEDERATION,"4,396","3,519","3 ,426","2,614","1,655","1,171","1,269","1,251","1,420","2,011","3,328","3,907","29,967"
TOTAL (CIS & RUSSIA),"5,771","4,648","4,888","3,471","2,593","1,928","1,864","1,895","2,184","2,756","4,318","5,165","41,481"
POLAND,"2,078","1,564","1 ,274","1,100",683,464,572,471,655,835,"1,585","1,287","12,568"
ISRAEL,"2,360","2,065","2 ,412","1,829","1,328",869,"1,405","1,340","1,899","1,137","1,703","1,996","20,343"
TURKEY,"1,396",911,798,7 20,592,539,522,666,488,540,784,6 59,"8,615"
AUSTRALIA,"3 0,924","19,480","2 3,623","25,292","21,279","19,663","20,817","17,578","2 0,551","21,167","22,460","36,994","279,828"
GUAM,"2,901","2,509","3 ,190","2,691","3,286","4,040","3,528","1,775","1,728","2,088","2,164","2,457","32,357"
NAURU,1,-,-,1 3,2,2,1,5,2,7,2,3,38
NEW ZEALAND,"3,549","1,904","2 ,503","2,828","2,596","2,544","2,720","2,333","2,335","2,487","2,779","4,763","33,341"
PAPUA NEW GUINEA,814,427,594,6 98,665,857,671,613,730,802,802,8 08,"8,481"
NIGERIA,171,136,188,1 41,348,204,165,125,138,187,168,1 33,"2,104"
SOUTH AFRICA,703,640,674,6 55,477,605,542,432,498,527,560,"1,230","7,543"
VERSEAS FILIPINOS***,"7,920","5,201","7,272","7,141","6,568","5,502","6,966","4,303","3,867","4,783","4,701","7,649","71,873"
