BRUNEI,702,953,"1 ,096",6 50,771,946,659,533,781,636,793,"1,013","9,533"
CAMBODIA,306,278,314,3 84,461,299,329,283,353,463,443,2 41,"4,154"
INDONESIA,"6,464","5,756","7 ,773","6,466","6,093","8,451","5,505","5,317","6,186","6,642","6,553","5,446","76,652"
LAOS,64,70,103,1 18,109,101,98,53,85,103,167,1 12,"1,183"
MALAYSIA,"1 2,012","12,322","1 2,756","11,771","12,179","12,623","11,036","11,578","1 3,211","11,491","12,649","11,618","145,246"
MYANMAR,650,662,920,8 90,905,776,717,714,698,860,883,9 55,"9,630"
SINGAPORE,"1 3,627","14,490","1 6,281","15,493","15,971","15,874","13,145","12,612","1 3,182","13,427","13,910","13,784","171,796"
THAILAND,"4,359","4,732","4 ,985","7,126","6,339","4,612","4,975","4,199","4,304","4,816","5,032","4,314","59,793"
VIETNAM,"3,147","4,357","4 ,298","4,927","5,173","5,473","4,642","3,871","4,145","4,113","4,405","3,783","52,334"
CHINA,"1 11,344","146,536","114,549","109,789","78,071","85,800","119,990","106,789","1 02,374","87,243","97,513","97,964","1,257,962"
HONGKONG,"9,284","13,642","1 3,857","10,324","10,308","12,546","9,533","7,457","7,411","8,591","7,093","7,946","117,992"
JAPAN,"5 7,038","60,262","6 3,878","49,021","45,744","40,119","50,591","65,136","5 3,342","45,108","47,776","53,806","631,821"
KOREA,"1 98,145","156,555","122,387","114,973","113,488","111,640","127,190","129,734","1 25,236","122,390","127,935","174,578","1,624,251"
MACAU,796,882,"1 ,000",7 68,869,899,816,643,544,730,625,7 64,"9,336"
TAIWAN,"1 8,948","21,908","1 9,021","22,950","18,545","19,168","23,151","21,004","2 2,152","19,498","16,589","19,477","242,411"
BANGLADESH,463,434,387,4 03,435,441,432,454,578,531,573,3 64,"5,495"
INDIA,"1 3,779","9,285","9 ,935","10,021","10,569","9,500","10,950","9,576","8,974","9,033","11,297","8,205","121,124"
IRAN,216,169,470,1 46,207,189,151,153,157,195,194,2 09,"2,456"
NEPAL,864,758,"1 ,634",8 95,938,701,380,342,476,322,328,"1,058","8,696"
PAKISTAN,396,336,342,3 87,344,393,523,437,520,491,524,3 06,"4,999"
SRI LANKA,456,467,434,5 30,528,620,659,581,659,516,553,4 43,"6,446"
BAHRAIN,312,253,370,3 06,221,372,486,325,237,258,283,2 15,"3,638"
EGYPT,175,141,188,1 53,131,150,233,204,188,203,202,1 87,"2,155"
JORDAN,79,57,54,7 6,55,68,149,122,84,114,149,1 22,"1,129"
KUWAIT,695,521,526,5 61,372,670,712,639,375,502,507,3 68,"6,448"
OMAN****,262,231,201,2 67,115,258,340,227,239,200,253,1 42,"2,735"
QATAR*,435,396,458,3 99,247,417,308,324,188,209,180,2 20,"3,781"
SAUDI ARABIA,"4,532","3,609","3 ,745","3,763","1,832","5,830","6,499","4,851","3,211","3,452","3,548","2,095","46,967"
