GREECE,231,252,225,1 87,1 92,149,1 76,123,136,196,3 46,270,"2,483"
ITALY,"2,778","2,480","2,159","1 ,922","1 ,546","1,461","2 ,074","2,428","1,324","1,766","2 ,308","3,699","25,945"
PORTUGAL,297,424,316,2 38,1 81,180,1 93,194,152,241,3 57,226,"2,999"
SPAIN,"2,833","2,259","2,656","2 ,186","1 ,803","1,763","3 ,470","3,951","1,798","2,650","3 ,254","3,474","32,097"
COMMONWEALTH OF,,,,,,,,,,,,,
INDEPENDENT STATES,"1,314","1,120",906,8 60,8 32,699,7 45,741,626,651,9 08,940,"10,342"
RUSSIAN FEDERATION,"4,310","3,050","2,150","1 ,988","1 ,426","1,005","1 ,082","1,069","1,253","2,814","4 ,065","3,998","28,210"
TOTAL (CIS & RUSSIA),"5,624","4,170","3,056","2,848","2,258","1,704","1,827","1,810","1,879","3,465","4,973","4,938","38,552"
POLAND,"1,284","1,323",960,6 53,5 67,353,3 65,365,394,607,"1 ,247",775,"8,893"
TURKEY,954,994,690,5 68,5 27,514,7 21,483,615,584,6 53,581,"7,884"
AUSTRALASIA/PACIFIC,,,,,,,,,,,,,
AUSTRALIA,"25,274","18,438","23,553","2 1,231","1 9,886","17,827","1 9,232","15,575","17,584","20,220","1 9,618","32,660","251,098"
GUAM,"2,485","2,430","3,089","3 ,095","3 ,792","4,629","4 ,688","3,108","2,670","2,675","2 ,880","3,236","38,777"
NAURU,2,-,1,-,2,3,-,4,-,5,-,-,17
NEW ZEALAND,"2,011","1,283","1,724","1 ,991","1 ,774","1,840","1 ,975","1,535","1,621","1,829","2 ,143","3,705","23,431"
PAPUA NEW GUINEA,568,537,553,5 89,7 55,756,6 75,567,822,603,5 64,749,"7,738"
NIGERIA,163,90,105,1 29,1 87,164,1 44,141,108,109,8 3,66,"1,489"
SOUTH AFRICA,435,350,559,4 36,3 61,362,4 26,359,345,353,4 09,722,"5,117"
OVERSEAS FILIPINOS***,"16,426","12,531","24,378","19,202","17,515","15,095","19,574","12,549","8,741","10,868","10,092","23,452","190,423"
