BRUNEI,706,544,978,8 31,670,636,598,718,783,583,725,907,"8,679"
CAMBODIA,223,374,294,5 01,347,305,358,411,447,494,574,384,"4,712"
INDONESIA,"4,138","4,517","4,624","5,572","5,045","4,317","4,887","4,816","8,581","5,073","5,939","5,414","62,923"
LAOS,48,107,7 7,1 68,106,119,131,155,211,180,199,79,"1,580"
MALAYSIA,"10,215","11,335","12,861","12,839","13,328","1 1,633","10,632","1 2,336","11,541","12,435","12,852","11,559","143,566"
MYANMAR,659,620,836,8 48,783,757,852,906,818,819,990,683,"9,571"
SINGAPORE,"12,000","13,309","15,086","13,895","15,895","1 5,022","12,535","1 3,726","13,974","13,597","14,752","14,846","168,637"
THAILAND,"3,644","3,638","4,173","4,926","4,334","3,279","3,671","4,008","4,145","4,530","4,768","3,611","48,727"
VIETNAM,"3,767","3,536","3,014","4,023","3,966","3,597","3,003","2,776","2,798","2,801","3,652","3,018","39,951"
CHINA,"85,948","78,251","76,155","74,893","73,649","6 6,066","90,763","9 5,687","79,463","89,932","79,307","78,333","968,447"
HONGKONG,"10,006","8,170","7,746","12,260","9,280","8,191","9,810","9,026","9,187","9,226","9,186","9,047","111,135"
JAPAN,"51,516","53,957","60,778","44,872","44,696","3 8,261","47,377","6 4,114","46,553","38,733","44,952","48,371","584,180"
KOREA,"154,367","150,685","135,813","117,074","128,691","1 08,455","132,135","1 41,869","123,834","139,218","125,583","1 50,097","1,607,821"
MACAU,760,705,702,9 11,948,640,813,669,680,799,728,756,"9,111"
TAIWAN,"21,926","20,472","22,498","21,318","22,429","1 8,374","20,451","1 9,993","17,112","21,241","16,052","14,911","236,777"
BANGLADESH,368,332,355,3 46,318,314,393,353,425,461,519,407,"4,591"
INDIA,"11,805","7,621","7,479","8,842","9,928","8,988","9,637","8,081","8,389","8,062","10,256","8,190","107,278"
IRAN,182,131,433,2 10,208,246,178,196,209,176,249,180,"2,598"
NEPAL,296,247,608,7 98,778,308,346,410,227,227,498,585,"5,328"
PAKISTAN,433,368,407,4 01,360,289,424,343,367,284,393,300,"4,369"
SRI LANKA,469,433,467,4 43,477,380,412,528,463,411,440,420,"5,343"
BAHRAIN,308,298,285,3 50,258,284,503,392,283,298,281,255,"3,795"
EGYPT,175,135,141,1 92,199,142,241,134,146,148,178,169,"2,000"
JORDAN,73,54,6 3,7 6,80,58,89,48,44,53,64,43,7 45
KUWAIT,756,559,617,7 53,661,640,873,837,668,575,650,493,"8,082"
QATAR*,393,346,346,3 91,341,380,346,369,319,305,316,343,"4,195"
SAUDI ARABIA,"5,020","4,051","4,341","4,820","3,096","3,228","8,227","7,155","4,658","3,933","4,120","2,067","54,716"
UNITED ARAB EMIRATES,"1,077","1,130","1,733","1,503","1,383","1,367","1,602","1,457","1,223","1,224","1,274","1,426","16,399"
CANADA,"24,352","19,016","17,470","19,755","16,794","1 0,856","15,159","1 1,057","10,686","13,080","17,344","25,071","200,640"
MEXICO,366,309,268,3 62,315,298,333,270,354,414,820,"1,635","5,744"
USA,"99,435","80,463","78,199","87,614","83,056","8 4,676","86,017","6 1,415","56,827","67,567","74,704","97,840","957,813"
ARGENTINA,533,380,367,3 53,291,178,79,118,115,211,242,290,"3,157"
BRAZIL,719,592,568,6 50,619,341,357,389,339,371,482,687,"6,114"
COLOMBIA,182,104,153,1 45,119,114,131,121,132,157,146,243,"1,747"
PERU,80,55,6 7,7 3,73,38,43,45,50,53,72,359,"1,008"
VENEZUELA,35,28,1 4,2 5,13,11,21,15,21,19,33,22,2 57
ANDORRA,30,16,2 3,1 7,33,21,17,66,28,31,40,35,3 57
AUSTRIA,"1,647","1,631","1,309","1,222",803,755,"1,503",834,595,821,950,"1,454","13,524"
BELGIUM,"1,328","1,173","1,414","1,594","1,047","1,167","2,101","1,010",865,"1,020","1,248","1,736","15,703"
FRANCE,"7,459","8,498","7,757","7,563","4,676","2,937","4,555","3,775","2,918","3,913","4,655","6,071","64,777"
GERMANY,"8,917","10,003","10,381","8,296","5,887","4,513","6,008","5,495","4,624","5,982","6,492","8,833","85,431"
LUXEMBOURG,51,64,7 0,8 6,47,24,71,67,41,67,63,71,7 22
NETHERLANDS,"3,852","3,038","2,854","3,337","2,738","2,020","3,224","2,135","1,897","2,105","3,066","3,555","33,821"
SWITZERLAND,"3,329","3,244","2,791","3,547","2,098","1,392","2,375","1,448","1,497","2,141","2,382","3,593","29,837"
DENMARK,"2,511","2,764","1,669","1,948","1,064","1,169","1,457",850,918,"1,069","1,284","1,742","18,445"
FINLAND,"1,014",922,662,6 37,472,531,242,240,312,391,616,919,"6,958"
IRELAND,"1,545","1,147","1,421","1,722","1,422","2,095","2,150","1,231","1,020","1,150","1,185","1,963","18,051"
NORWAY,"2,109","1,930","1,635","1,956","1,210","2,676","2,800","1,094","1,066","1,342","1,503","2,569","21,890"
SWEDEN,"4,029","3,786","2,831","2,285","1,407","1,898","1,553",906,"1,076","1,416","2,202","4,314","27,703"
UNITED KINGDOM,"15,747","15,226","16,380","20,835","14,224","1 1,237","17,254","1 4,105","10,860","12,695","14,818","19,327","182,708"
GREECE,253,275,303,2 68,247,202,185,205,249,251,352,375,"3,165"
ITALY,"3,454","3,150","2,897","2,887","1,931","1,710","2,363","2,695","1,520","1,744","2,357","3,729","30,437"
PORTUGAL,565,325,360,5 16,281,205,204,229,223,310,561,410,"4,189"
SPAIN,"3,368","2,876","2,719","3,612","2,285","2,205","3,572","3,967","2,198","2,760","3,534","3,858","36,954"
INDEPENDENT STATES,"1,216",935,"1,157",8 43,692,731,757,756,802,830,"1,030","1,059","10,808"
RUSSIAN FEDERATION,"4,990","4,522","3,979","2,709","1,766","1,399","1,380","1,256","1,438","2,554","3,198","4,088","33,279"
TOTAL (CIS & RUSSIA),"6,206","5,457","5,136","3,552","2,458","2,130","2,137","2,012","2,240","3,384","4,228","5,147","44,087"
POLAND,"1,458","1,682","1,417","1,002",641,410,493,410,500,627,"1,168",978,"10,786"
ISRAEL,"2,000","1,919","1,596","2,043","1,179",748,"1,006",966,"1,491","1,487","1,333","1,678","17,446"
TURKEY,974,798,975,5 73,600,565,646,732,559,559,759,668,"8,408"
AUSTRALIA,"27,826","20,157","18,824","26,447","19,560","1 8,178","19,985","1 6,016","19,858","19,592","21,269","31,721","259,433"
GUAM,"2,608","2,536","2,390","2,872","2,865","4,096","4,222","2,670","2,850","2,912","3,316","3,300","36,637"
NAURU,1,2,2,-,1,-,1,2,-,-,7,-,1 6
NEW ZEALAND,"2,705","1,843","2,057","2,813","2,240","2,105","2,649","1,880","2,106","2,196","2,482","3,907","28,983"
PAPUA NEW GUINEA,890,448,535,7 05,652,695,650,650,711,687,700,787,"8,110"
NIGERIA,155,124,9 7,9 4,111,96,170,198,160,134,128,91,"1,558"
SOUTH AFRICA,587,399,471,6 70,462,446,546,417,450,496,497,"1,030","6,471"
OVERSEAS FILIPINOS***,"11,518","9,817","17,159","13,601","11,977","12,125","16,397","10,178","7,037","9,989","10,503","10,310","140,611"
