BY NATIONALITY,"TotalFebruary 2022","TotalMarch 2022","TotalApril 2022","TotalMay 2022","TotalJune 2022","TotalJuly 2022","TotalAugust 2022","TotalSeptember 2022","TotalOctober 2022","TotalNovember 2022","TotalDecember 2022","TotalFeb. to Dec. 2022",% Share
MEXICAN,31,60,112,120,120,182,183,235,282,295,223,"1,843",0.07%
SRI LANKAN,31,-,61,126,193,229,250,211,285,202,213,"1,801",0.07%
GREEK,2,105,108,115,122,173,162,199,175,309,250,"1,720",0.06%
EGYPTIAN,-,-,25,90,122,251,283,259,241,283,161,"1,715",0.06%
PAPUA NEW GUINEAN,11,64,60,98,102,163,155,184,210,240,270,"1,557",0.06%
BAHRAINI,1,67,42,123,176,228,167,199,186,185,120,"1,494",0.06%
MOROCCAN,8,40,32,64,97,147,210,190,235,263,172,"1,458",0.05%
CAMBODIAN,6,23,95,76,85,199,145,153,193,304,175,"1,454",0.05%
COLOMBIAN,-,51,69,80,109,115,144,155,191,236,196,"1,346",0.05%
HUNGARIAN,36,72,159,80,92,108,86,107,152,215,185,"1,292",0.05%
OMANI,15,66,16,88,73,237,152,98,131,128,99,"1,103",0.04%
BULGARIAN,6,57,84,40,66,79,77,83,111,213,183,999,0.04%
"",-,40,60,97,188,98,76,55,63,67,244,988,0.04%
LITHUANIAN,16,48,52,58,52,57,57,78,115,240,178,951,0.04%
ARGENTINE,11,43,58,67,54,59,91,98,140,185,137,943,0.04%
TUNISIAN,11,32,19,38,55,116,107,132,120,155,150,935,0.04%
SLOVAK,13,43,74,57,41,59,66,78,87,170,180,868,0.03%
CROATIAN,13,40,64,47,42,80,78,96,95,158,129,842,0.03%
UKRAINIAN,6,-,36,43,47,97,115,117,96,185,94,836,0.03%
PALAUAN,29,11,36,56,51,111,79,67,88,188,110,826,0.03%
IRANIAN,14,-,26,43,77,69,163,111,100,94,108,805,0.03%
LEBANESE,18,-,22,41,54,102,120,98,100,147,101,803,0.03%
CHILEAN,5,17,36,61,56,71,66,90,99,149,88,738,0.03%
KAZAKH,4,16,39,25,27,73,62,66,81,149,173,715,0.03%
MALDIVIAN,2,50,24,47,56,130,89,69,57,84,66,674,0.03%
QATARI,-,50,20,76,69,117,56,66,51,57,99,661,0.02%
JORDANIAN,1,-,19,37,62,86,91,77,80,82,72,607,0.02%
CYPRIOT,-,25,55,36,64,71,78,44,51,82,87,593,0.02%
KENYAN,-,17,24,25,46,94,85,77,69,74,49,560,0.02%
CAMEROONIAN,-,26,52,46,52,58,84,73,56,65,31,543,0.02%
MICRONESIAN,8,12,13,20,12,44,43,51,73,179,62,517,0.02%
PERUVIAN,18,16,34,36,44,42,51,51,64,62,94,512,0.02%
SLOVENIAN,-,34,47,34,43,63,48,31,55,84,68,507,0.02%
SERBIAN,3,-,6,29,31,67,71,81,65,90,59,502,0.02%
UZBEK,3,3,12,18,12,34,57,83,50,83,140,495,0.02%
LAO,-,7,7,17,19,96,41,66,75,104,52,484,0.02%
NORTH KOREAN,33,-,13,9,26,42,46,29,36,88,146,468,0.02%
SYRIAN,-,-,9,15,35,68,78,83,49,78,30,445,0.02%
LATVIAN,5,39,22,20,19,27,29,37,52,91,92,433,0.02%
FIJIAN,-,9,28,29,39,54,38,61,53,66,51,428,0.02%
ESTONIAN,-,29,22,24,15,24,20,18,51,77,137,417,0.02%
SCOTTISH,12,-,29,40,46,46,46,67,58,65,6,415,0.02%
EAST TIMORESE,-,-,42,33,54,75,58,27,37,26,22,374,0.01%
GHANAIAN,-,6,17,25,16,48,55,52,53,60,36,368,0.01%
MALTESE,-,10,24,20,22,44,39,41,38,35,94,367,0.01%
YEMENI,-,-,5,20,36,51,66,64,47,49,28,366,0.01%
LUXEMBOURGER,8,21,23,13,16,42,53,29,28,42,58,333,0.01%
ARMENIAN,2,-,19,10,8,30,29,18,32,31,124,303,0.01%
COSTA RICAN,-,5,15,18,23,25,19,39,49,75,34,302,0.01%
ALGERIAN,1,-,13,9,18,35,44,42,41,57,9,269,0.01%
SUDANESE,1,-,1,7,13,30,59,51,41,35,19,257,0.01%
MAURITIAN,11,-,12,11,15,30,18,40,34,46,36,253,0.01%
VENEZUELAN,3,9,25,22,19,20,21,32,26,42,26,245,0.01%
KYRGYZ,1,8,21,8,9,28,23,19,37,44,39,237,0.01%
ETHIOPIAN,-,4,8,6,12,25,54,40,23,35,25,232,0.01%
PUERTO RICAN,1,-,22,25,28,16,26,34,25,42,10,229,0.01%
TANZANIAN,-,10,9,10,16,28,33,28,32,34,25,225,0.01%
MARSHALLESE,12,5,35,14,6,7,4,13,29,57,41,223,0.01%
ECUADOREAN,-,3,16,13,16,32,25,33,24,28,32,222,0.01%
UGANDAN,1,7,16,10,11,25,32,35,33,24,26,220,0.01%
ZIMBABWEAN,-,9,8,10,13,22,25,40,27,36,25,215,0.01%
URUGUAYAN,-,4,7,2,13,8,8,14,38,85,34,213,0.01%
MACANESE,-,-,9,19,22,22,25,27,22,24,39,209,0.01%
JAMAICAN,1,12,9,18,9,22,29,26,22,32,28,208,0.01%
CITIZEN OF VANUATU,1,5,10,16,15,19,25,24,24,26,43,208,0.01%
BELARUSIAN,-,-,5,5,9,19,22,33,25,49,32,199,0.01%
KITTITIAN,-,8,11,16,14,26,22,21,23,20,31,192,0.01%
AMERICAN SAMOAN,23,-,-,-,-,-,-,-,-,-,166,189,0.01%
CHADIAN,9,5,11,7,15,21,23,18,29,22,13,173,0.01%
PALESTINIAN,5,-,8,12,15,5,24,30,27,20,20,166,0.01%
PANAMANIAN,3,3,17,19,19,5,21,17,17,21,18,160,0.01%
DOMINICAN,-,5,17,10,10,16,19,13,23,22,25,160,0.01%
SALVADOREAN,-,-,12,8,13,13,18,22,28,30,15,159,0.01%
GUATEMALAN,-,4,10,6,17,18,14,20,24,16,28,157,0.01%
NAMIBIAN,-,16,17,17,23,15,21,8,14,9,16,156,0.01%
IRAQI,-,-,6,14,18,16,26,22,14,19,20,155,0.01%
"",-,9,9,7,5,18,18,22,13,25,22,148,0.01%
