"",,,,,,,,,,,,,,
COUNTRY OF RESIDENCE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,"JANUARY -DECEMBER",% Share
Grand Total,"464,168","466,032","475,643","458,083","389,288","448,867","516,304","437,648","382,346","406,901","439,926","565,351","5,450,557",100.00%
"* Overseas Filipinos","38,980","34,337","39,351","40,763","36,195","41,657","48,385","33,619","26,046","28,778","28,036","50,935","447,082",8.20%
Foreign Tourists,"425,188","431,695","436,292","417,320","353,093","407,210","467,919","404,029","356,300","378,123","411,890","514,416","5,003,475",91.80%
rSOUTH KOREA,"127,703","128,131","108,085","95,351","99,636","117,739","141,166","135,951","114,064","114,135","117,736","151,161","1,450,858",26.62%
UNITED STATES OF AMERICA,"87,440","85,917","80,284","75,830","71,249","93,597","85,918","52,452","50,188","59,420","66,486","94,518","903,299",16.57%
JAPAN,"15,178","23,013","26,356","23,655","21,179","19,676","27,148","38,929","27,866","24,674","28,144","29,762","305,580",5.61%
AUSTRALIA,"23,731","20,723","23,715","26,966","19,054","19,837","19,007","15,661","19,833","18,839","21,200","37,985","266,551",4.89%
CHINA,"9,648","14,904","19,281","25,076","18,071","21,818","33,874","31,656","25,355","23,728","21,440","18,985","263,836",4.84%
CANADA,"24,660","23,319","22,287","20,844","17,242","12,345","18,462","13,638","12,252","15,576","17,983","23,312","221,920",4.07%
TAIWAN,"18,040","12,991","13,513","14,603","11,096","19,622","23,207","18,777","15,696","19,083","14,274","13,949","194,851",3.57%
UNITED KINGDOM,"12,886","12,049","17,831","15,451","10,611","9,217","17,802","11,299","7,550","10,313","11,503","18,186","154,698",2.84%
SINGAPORE,"10,020","11,403","14,433","13,762","11,602","14,104","10,616","10,621","11,701","11,370","14,904","14,694","149,230",2.74%
MALAYSIA,"6,994","8,730","9,461","8,992","8,003","7,630","7,947","7,253","7,488","7,111","9,382","8,648","97,639",1.79%
HONG KONG - SAR,"9,903","4,658","6,249","11,729","5,283","5,369","5,829","5,398","5,239","6,887","6,188","7,780","80,512",1.48%
GERMANY,"7,282","7,775","10,015","7,513","4,434","3,325","4,628","4,520","3,631","4,878","6,894","9,836","74,731",1.37%
INDIA,"6,490","5,381","7,027","6,189","5,296","5,338","5,987","5,922","5,553","5,321","6,268","5,514","70,286",1.29%
VIETNAM,"4,607","5,674","6,930","6,527","6,139","6,981","6,105","5,295","4,616","4,778","5,202","4,807","67,661",1.24%
INDONESIA,"3,814","5,216","5,128","5,525","4,131","4,248","4,244","3,942","4,460","4,355","4,707","3,937","53,707",0.99%
FRANCE,"5,904","7,462","7,273","5,699","2,814","1,467","3,632","2,591","1,959","3,038","4,633","5,129","51,601",0.95%
THAILAND,"3,182","3,315","4,136","4,544","3,075","3,187","3,603","2,583","3,033","3,563","3,618","3,113","40,952",0.75%
GUAM,"2,274","2,449","3,255","2,714","2,190","3,959","3,966","2,151","2,352","3,093","3,064","4,034","35,501",0.65%
SPAIN,"2,969","2,634","3,034","2,691","1,648","1,729","3,450","4,132","2,159","2,511","3,616","3,490","34,063",0.62%
UNITED ARAB EMIRATES,"1,102","2,437","3,748","3,116","2,304","2,859","3,053","2,708","2,867","3,056","3,026","3,493","33,769",0.62%
NETHERLANDS,"3,061","2,814","3,054","3,237","2,166","1,519","3,394","1,900","1,740","2,291","3,123","3,657","31,956",0.59%
NEW ZEALAND,"2,338","2,028","2,276","2,714","2,152","2,430","2,177","1,688","1,953","2,105","2,224","5,187","29,272",0.54%
SWITZERLAND,"2,201","2,475","2,660","2,918","1,291",922,"2,084",885,"1,165","1,670","2,279","3,498","24,048",0.44%
RUSSIA,"3,153","3,752","2,735","2,030","1,122",863,958,967,947,"1,595","2,159","2,823","23,104",0.42%
ITALY,"2,274","2,200","2,059","1,609",954,"1,251","1,729","2,287","1,002","1,311","1,959","3,861","22,496",0.41%
NORWAY,"1,567","1,716","1,529","1,209",773,"3,235","3,508",843,843,"1,035","1,311","2,431","20,000",0.37%
SAUDI ARABIA,"1,365","1,968","1,727","1,819","1,912","1,784","1,721","1,375","1,468","1,441","1,618","1,113","19,311",0.35%
SWEDEN,"1,887","1,816","1,753","1,252",826,"1,617","1,254",662,672,920,"1,437","2,693","16,789",0.31%
IRELAND,"1,317","1,056","1,325","1,230","1,087","2,475","1,896","1,056",850,"1,052","1,160","1,875","16,379",0.30%
BELGIUM,"1,221","1,291","1,353","1,184",890,991,"2,273",827,778,"1,072","1,203","1,376","14,459",0.27%
ISRAEL,"1,888","1,637","1,955","1,355",836,697,"1,051",893,"1,325",635,470,592,"13,334",0.24%
AUSTRIA,"1,716","1,462","1,197","1,071",735,738,"1,410",805,520,865,"1,040","1,621","13,180",0.24%
DENMARK,"1,450","1,318","1,307","1,084",740,784,"1,056",462,661,940,"1,254","1,238","12,294",0.23%
QATAR,393,816,990,"1,220",716,916,841,754,895,"1,031",826,"1,040","10,438",0.19%
TURKEY,824,"1,014","1,103",832,617,758,629,643,687,765,"1,121","1,033","10,026",0.18%
POLAND,875,"1,263","1,089",934,443,325,312,288,371,749,"1,919","1,355","9,923",0.18%
KUWAIT,413,715,613,704,608,776,565,618,426,451,410,616,"6,915",0.13%
BRUNEI,416,545,578,779,431,504,507,470,454,530,524,901,"6,639",0.12%
MYANMAR,358,309,355,441,585,526,608,542,677,656,809,529,"6,395",0.12%
PAPUA NEW GUINEA,381,400,410,465,443,619,536,448,733,573,603,632,"6,243",0.11%
BAHRAIN,231,453,427,416,416,489,547,523,605,633,567,579,"5,886",0.11%
CZECH REPUBLIC,629,885,818,482,226,174,278,214,257,491,727,631,"5,812",0.11%
MONGOLIA,972,765,493,260,228,465,315,207,206,185,195,374,"4,665",0.09%
MACAU - SAR,276,195,407,638,361,408,422,425,324,432,313,392,"4,593",0.08%
FINLAND,512,412,473,345,257,418,304,270,210,267,440,625,"4,533",0.08%
SOUTH AFRICA,406,321,374,538,283,310,371,286,349,314,377,596,"4,525",0.08%
BRAZIL,454,443,515,437,264,256,213,193,239,306,479,476,"4,275",0.08%,
BANGLADESH,269,303,351,458,262,276,283,344,506,407,409,323,"4,191",0.08%,
PORTUGAL,310,364,476,448,268,136,161,304,216,344,649,495,"4,171",0.08%,
ROMANIA,489,549,487,360,170,168,131,211,176,248,540,642,"4,171",0.08%,
CAMBODIA,236,332,405,404,294,278,247,335,321,401,326,420,"3,999",0.07%,
NEPAL,251,236,363,383,244,316,291,309,316,307,343,287,"3,646",0.07%,
NIGERIA,387,427,321,300,274,259,242,291,221,212,213,154,"3,301",0.06%,
PAKISTAN,287,225,273,172,236,225,284,248,345,272,327,215,"3,109",0.06%,
GREECE,313,290,281,244,146,148,126,351,188,208,431,369,"3,095",0.06%,
MEXICO,193,173,320,312,194,167,198,248,247,282,292,207,"2,833",0.05%,
SRI LANKA,158,188,259,214,201,280,214,192,241,207,401,224,"2,779",0.05%,
OMAN,133,192,229,219,216,290,334,197,231,186,185,283,"2,695",0.05%,
NORTHERN MARIANA ISLANDS,130,144,200,174,143,484,413,203,112,150,183,252,"2,588",0.05%,
HUNGARY,217,273,263,156,173,191,111,116,146,140,240,293,"2,319",0.04%,
UNITED STATES MINOR OUTLYING ISLANDS,92,119,132,103,77,101,142,81,220,327,400,497,"2,291",0.04%,
SLOVAKIA,210,289,227,232,110,61,75,62,70,155,353,333,"2,177",0.04%,
BULGARIA,351,296,271,145,115,59,85,75,75,143,276,261,"2,152",0.04%,
LITHUANIA,244,286,193,108,59,31,57,349,89,87,195,170,"1,868",0.03%,
COLOMBIA,177,136,158,202,133,120,120,108,161,166,191,171,"1,843",0.03%,
ARGENTINA,274,203,240,199,134,84,70,76,105,113,169,142,"1,809",0.03%,
MOROCCO,131,213,102,107,178,102,143,217,159,120,154,153,"1,779",0.03%,
URUGUAY,91,125,703,522,79,26,25,18,21,39,55,21,"1,725",0.03%,
CHILE,168,193,169,158,129,95,67,75,85,146,160,102,"1,547",0.03%,
KAZAKHSTAN,181,132,190,115,100,88,90,70,79,76,138,156,"1,415",0.03%,
EGYPT,111,123,90,144,87,89,121,137,128,94,96,134,"1,354",0.02%,
PALAU,91,117,166,96,68,95,113,81,99,92,199,129,"1,346",0.02%,
CROATIA,144,130,141,118,82,89,58,61,73,98,160,180,"1,334",0.02%,
CYPRUS,95,93,131,103,76,99,169,140,63,70,149,144,"1,332",0.02%,
SLOVENIA,162,125,97,149,41,49,95,58,138,121,157,126,"1,318",0.02%,
ICELAND,95,67,89,89,135,240,145,48,70,61,71,157,"1,267",0.02%,
MALDIVES,116,99,98,45,71,93,196,115,129,129,95,66,"1,252",0.02%,
LATVIA,125,137,93,58,38,24,70,55,209,73,225,143,"1,250",0.02%,
ESTONIA,167,206,103,69,40,27,35,28,41,58,228,241,"1,243",0.02%,
MALTA,112,120,168,102,95,50,98,73,46,57,73,184,"1,178",0.02%,
IRAN,65,88,325,53,70,49,48,54,81,68,189,82,"1,172",0.02%,
SERBIA,55,61,81,58,48,21,40,240,218,42,160,77,"1,101",0.02%,
LAOS,64,86,81,166,70,60,52,53,64,75,132,85,988,0.02%,
KENYA,63,55,78,98,61,56,83,75,109,115,80,90,963,0.02%,
LUXEMBOURG,70,82,121,120,49,34,71,103,47,75,75,115,962,0.02%,
MICRONESIA,69,73,96,88,40,68,77,65,60,59,174,45,914,0.02%,
TUNISIA,80,125,89,56,83,20,53,76,60,50,92,98,882,0.02%,
UKRAINE,87,103,76,63,40,61,68,52,54,67,109,74,854,0.02%,
FIJI,42,51,78,52,48,72,60,51,70,56,61,96,737,0.01%,
PERU,56,73,73,61,58,41,35,49,101,56,78,56,737,0.01%,
UZBEKISTAN,35,47,52,49,69,96,70,64,58,49,61,51,701,0.01%,
GHANA,31,25,28,51,35,37,46,87,61,89,62,51,603,0.01%,
LEBANON,42,75,45,66,41,51,34,46,47,47,54,55,603,0.01%,
"",JORDAN,89,60,43,33,51,45,45,60,61,30,42,39,598,0.01%,
"",MARSHALL ISLANDS,29,59,45,47,37,52,56,48,46,47,82,42,590,0.01%,
"",CAMEROON,33,49,39,73,34,43,38,51,55,63,39,49,566,0.01%,
"",ISLE OF MAN,44,37,55,46,30,30,50,57,26,51,46,67,539,0.01%,
"",SOLOMON ISLANDS,27,20,17,37,42,51,93,58,82,51,32,29,539,0.01%,
"",COSTA RICA,50,51,59,60,36,28,22,20,44,40,36,38,484,0.01%,
"",TIMOR-LESTE,39,57,25,26,26,42,68,55,55,26,27,33,479,0.01%,
"",ECUADOR,34,42,47,49,17,21,12,25,48,25,33,21,374,0.01%,
"",ARMENIA,17,35,44,23,10,9,78,19,31,31,40,23,360,0.01%,
"",MAURITIUS,24,32,44,31,23,18,21,29,22,25,38,43,350,0.01%,
"",GEORGIA,31,35,41,28,21,20,43,13,19,36,42,20,349,0.01%,
"",PUERTO RICO,26,20,22,37,13,25,25,53,22,31,33,40,347,0.01%,
"",JERSEY,43,37,47,36,34,17,22,23,7,16,27,32,341,0.01%,
"",UGANDA,15,15,20,30,26,37,24,23,38,47,33,31,339,0.01%,
"",BELARUS,37,52,37,22,13,15,13,15,12,26,42,53,337,0.01%,
"",KYRGYZSTAN,37,33,39,27,46,23,12,15,17,26,29,33,337,0.01%,
"",AMERICAN SAMOA,38,38,30,25,17,27,33,22,15,30,20,25,320,0.01%,
"",ZIMBABWE,20,22,22,36,19,20,16,30,30,29,23,47,314,0.01%,
"",PANAMA,27,33,30,16,22,24,30,19,25,17,38,22,303,0.01%,
"",ETHIOPIA,20,19,43,24,25,9,16,31,27,32,21,30,297,0.01%,
"",TANZANIA,25,22,18,20,21,20,20,32,19,40,20,25,282,0.01%,
"",BHUTAN,12,15,25,20,28,25,32,14,10,32,38,21,272,0.00%,
"",TAJIKISTAN,30,13,19,21,12,29,12,15,23,42,27,28,271,0.00%,
"",VANUATU,14,17,15,36,29,24,27,23,29,19,21,15,269,0.00%,
